Inches,CPU_Frequency_Numeric,Ram_Numeric,Size_Numeric,Weight_Numeric,Log_Price_dollars,Company_Acer,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,Cpu_Company_AMD,Cpu_Company_Intel,Memory_Structure_Categories_Flash,Memory_Structure_Categories_HDD,Memory_Structure_Categories_Hybrid,Memory_Structure_Categories_SSD,Gpu_Company_AMD,Gpu_Company_Intel,Gpu_Company_Nvidia,OpSys_Android,OpSys_Chrome OS,OpSys_Linux,OpSys_Mac OS X,OpSys_No OS,OpSys_Windows 10,OpSys_Windows 10 S,OpSys_Windows 7,OpSys_macOS,Actual_LR,Predicted_LR,pctDiff_LR,Diff_LR,Actual_RF,Predicted_RF,pctDiff_RF,Diff_RF,Actual_NN,Predicted_NN,pctDiff_NN,Diff_NN
15.6,2.5,8,1000,2.56,6.803505257608338,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,901.0,1083.0,20.0,182.0,901.0,966.0,7.0,65.0,901.0,986.0,9.0,85.0
17.3,2.0,8,1000,2.54,6.2878585601617845,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,538.0,717.0,33.0,179.0,538.0,696.0,29.0,158.0,538.0,755.0,40.0,217.0
15.6,2.9,16,512,2.5,7.898782356970309,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2694.0,2130.0,21.0,-564.0,2694.0,3276.0,22.0,582.0,2694.0,1984.0,26.0,-710.0
15.6,2.8,16,128,2.5,7.533158807455563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1869.0,2159.0,16.0,290.0,1869.0,1602.0,14.0,-267.0,1869.0,1764.0,6.0,-105.0
15.6,2.8,8,128,2.5,7.2254814727822945,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1374.0,1422.0,3.0,48.0,1374.0,1362.0,1.0,-12.0,1374.0,1166.0,15.0,-208.0
15.6,2.8,8,128,2.5,7.106606137727303,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1220.0,1422.0,17.0,202.0,1220.0,1362.0,12.0,142.0,1220.0,1166.0,4.0,-54.0
15.6,2.8,8,128,2.5,7.050122520269059,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1153.0,1422.0,23.0,269.0,1153.0,1362.0,18.0,209.0,1153.0,1166.0,1.0,13.0
15.6,2.1,16,512,2.5,7.002155954403621,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1099.0,987.0,10.0,-112.0,1099.0,1374.0,25.0,275.0,1099.0,1215.0,11.0,116.0
17.3,1.6,8,128,2.5,6.980075940561763,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1075.0,985.0,8.0,-90.0,1075.0,1084.0,1.0,9.0,1075.0,1155.0,7.0,80.0
15.6,2.8,8,256,2.5,6.874198495453294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,967.0,894.0,8.0,-73.0,967.0,1188.0,23.0,221.0,967.0,954.0,1.0,-13.0
